Timestamp,EMG_CH1,EMG_CH2
2024-12-19 09:33:23,-13834,-4887273
2024-12-19 09:33:24,-14671,-4886515
2024-12-19 09:33:24,-14521,-4886479
2024-12-19 09:33:25,-14116,-4886098
2024-12-19 09:33:25,-14032,-4885200
2024-12-19 09:33:25,-14153,-4882934
2024-12-19 09:33:26,-14251,-4885532
2024-12-19 09:33:26,-13804,-4892233
2024-12-19 09:33:27,-14551,-4893949
2024-12-19 09:33:27,-15354,-4893076
2024-12-19 09:33:27,-15341,-4893947
2024-12-19 09:33:28,-14193,-4894783
2024-12-19 09:33:28,-13973,-4894233
2024-12-19 09:33:29,-14467,-4892679
2024-12-19 09:33:29,-14792,-4894054
2024-12-19 09:33:29,-14656,-4895939
2024-12-19 09:33:30,-14154,-4903078
2024-12-19 09:33:30,-15113,-4904331
2024-12-19 09:33:30,-15669,-4903594
2024-12-19 09:33:31,-15668,-4903634
2024-12-19 09:33:31,-15384,-4903844
2024-12-19 09:33:31,-15407,-4903686
2024-12-19 09:33:31,-15842,-4902113
2024-12-19 09:33:31,-15567,-4903858
2024-12-19 09:33:31,-15193,-4909335
2024-12-19 09:33:32,-15834,-4911826
2024-12-19 09:33:32,-16361,-4911056
2024-12-19 09:33:32,-16237,-4911106
2024-12-19 09:33:33,-16206,-4911152
2024-12-19 09:33:33,-15959,-4910381
2024-12-19 09:33:34,-16191,-4908915
2024-12-19 09:33:34,-16610,-4908942
2024-12-19 09:33:34,-16608,-4912197
2024-12-19 09:33:35,-16669,-4917500
2024-12-19 09:33:35,-17023,-4917579
2024-12-19 09:33:36,-17290,-4917553
2024-12-19 09:33:36,-17166,-4917158
2024-12-19 09:33:37,-16876,-4916947
2024-12-19 09:33:37,-16244,-4916301
2024-12-19 09:33:38,-16533,-4914799
2024-12-19 09:33:38,-16368,-4915300
2024-12-19 09:33:38,-16122,-4919798
2024-12-19 09:33:39,-16666,-4923752
2024-12-19 09:33:39,-17197,-4923212
2024-12-19 09:33:39,-17198,-4923452
2024-12-19 09:33:40,-17032,-4923732
2024-12-19 09:33:40,-16429,-4923301
2024-12-19 09:33:40,-16931,-4922676
2024-12-19 09:33:41,-17096,-4922602
2024-12-19 09:33:41,-17038,-4925561
2024-12-19 09:33:42,-16900,-4931833
2024-12-19 09:33:42,-17204,-4931791
2024-12-19 09:33:43,-17709,-4931690
2024-12-19 09:33:43,-17670,-4932251
2024-12-19 09:33:44,-17067,-4931927
2024-12-19 09:33:44,-17162,-4931867
2024-12-19 09:33:45,-17519,-4930829
2024-12-19 09:33:45,-18019,-4931106
2024-12-19 09:33:46,-17779,-4935127
2024-12-19 09:33:46,-17950,-4940511
2024-12-19 09:33:47,-18621,-4939950
2024-12-19 09:33:47,-19097,-4939586
2024-12-19 09:33:47,-19297,-4939787
