Timestamp,ECG_CH1,ECG_CH2
2024-12-19 08:29:12,239198,-2909
2024-12-19 08:29:12,239473,-2879
2024-12-19 08:29:12,239544,-2983
2024-12-19 08:29:12,239831,-2915
2024-12-19 08:29:12,239970,-2802
2024-12-19 08:29:12,239525,-2966
2024-12-19 08:29:12,239554,-3037
2024-12-19 08:29:12,239769,-2994
2024-12-19 08:29:12,240236,-2951
2024-12-19 08:29:13,240383,-2854
2024-12-19 08:29:13,240598,-2832
2024-12-19 08:29:14,240963,-2944
2024-12-19 08:29:14,241119,-2992
2024-12-19 08:29:15,240749,-2902
2024-12-19 08:29:15,240888,-2666
2024-12-19 08:29:15,240866,-2582
2024-12-19 08:29:16,240932,-2765
2024-12-19 08:29:16,241136,-2941
2024-12-19 08:29:17,241536,-2954
2024-12-19 08:29:17,241843,-2936
2024-12-19 08:29:17,242049,-3036
2024-12-19 08:29:18,241979,-2727
2024-12-19 08:29:18,241427,-2697
2024-12-19 08:29:18,241583,-2503
2024-12-19 08:29:18,241673,-2634
2024-12-19 08:29:18,241776,-2672
2024-12-19 08:29:18,241810,-2691
2024-12-19 08:29:18,241753,-2785
2024-12-19 08:29:18,242102,-2902
2024-12-19 08:29:18,242018,-2836
2024-12-19 08:29:19,241562,-2851
2024-12-19 08:29:19,241379,-2919
2024-12-19 08:29:20,241267,-2886
2024-12-19 08:29:20,241311,-2891
2024-12-19 08:29:20,241433,-2903
2024-12-19 08:29:20,241224,-2992
2024-12-19 08:29:20,241342,-2996
2024-12-19 08:29:20,241244,-3092
2024-12-19 08:29:20,240811,-3090
2024-12-19 08:29:20,240258,-3111
2024-12-19 08:29:20,240061,-3181
2024-12-19 08:29:20,239872,-3211
2024-12-19 08:29:20,239957,-3075
2024-12-19 08:29:20,239823,-3096
2024-12-19 08:29:20,239699,-3082
2024-12-19 08:29:20,239481,-3278
2024-12-19 08:29:20,239097,-3524
2024-12-19 08:29:20,238518,-3499
2024-12-19 08:29:20,238039,-3569
2024-12-19 08:29:20,237895,-3519
2024-12-19 08:29:20,237719,-3536
2024-12-19 08:29:20,237579,-3515
2024-12-19 08:29:20,237483,-3526
2024-12-19 08:29:20,237583,-3617
2024-12-19 08:29:20,237369,-3732
2024-12-19 08:29:20,236951,-3831
2024-12-19 08:29:20,236436,-3872
2024-12-19 08:29:20,236287,-3798
2024-12-19 08:29:20,236338,-3614
2024-12-19 08:29:21,236413,-3468
2024-12-19 08:29:21,236467,-3525
2024-12-19 08:29:21,236130,-3699
2024-12-19 08:29:21,236175,-3841
2024-12-19 08:29:21,236267,-3909
2024-12-19 08:29:21,236093,-3817
2024-12-19 08:29:21,235482,-3834
2024-12-19 08:29:21,235482,-3854
2024-12-19 08:29:21,235580,-3867
2024-12-19 08:29:21,235654,-3841
2024-12-19 08:29:21,235604,-3815
2024-12-19 08:29:21,235751,-3872
2024-12-19 08:29:21,236016,-3866
2024-12-19 08:29:21,235901,-3861
2024-12-19 08:29:21,235319,-3814
2024-12-19 08:29:21,235323,-3947
2024-12-19 08:29:21,235426,-3869
2024-12-19 08:29:21,235508,-3839
2024-12-19 08:29:21,235599,-3871
2024-12-19 08:29:21,235668,-3912
2024-12-19 08:29:21,235918,-3974
2024-12-19 08:29:21,235904,-4012
2024-12-19 08:29:21,235749,-3983
2024-12-19 08:29:22,235262,-3822
2024-12-19 08:29:22,235157,-3959
2024-12-19 08:29:23,235363,-3971
2024-12-19 08:29:23,235727,-3942
2024-12-19 08:29:23,235707,-4024
2024-12-19 08:29:23,235581,-4017
2024-12-19 08:29:24,235871,-3994
2024-12-19 08:29:24,235871,-3904
2024-12-19 08:29:25,235314,-3882
2024-12-19 08:29:25,235370,-3900
2024-12-19 08:29:25,235503,-3904
2024-12-19 08:29:26,235586,-3955
2024-12-19 08:29:26,235439,-3986
2024-12-19 08:29:27,235541,-4005
2024-12-19 08:29:27,235780,-4044
2024-12-19 08:29:27,235796,-3992
2024-12-19 08:29:28,235469,-3994
2024-12-19 08:29:28,235288,-4053
2024-12-19 08:29:29,235503,-3914
2024-12-19 08:29:29,235520,-3902
2024-12-19 08:29:29,235648,-3941
2024-12-19 08:29:30,235788,-4024
2024-12-19 08:29:30,235801,-4094
2024-12-19 08:29:31,236084,-4059
2024-12-19 08:29:31,236034,-4114
2024-12-19 08:29:31,235358,-4139
2024-12-19 08:29:32,235654,-4049
2024-12-19 08:29:32,235581,-4029
2024-12-19 08:29:33,235691,-4038
2024-12-19 08:29:33,235828,-4173
2024-12-19 08:29:33,235895,-4279
2024-12-19 08:29:34,236244,-4248
2024-12-19 08:29:34,235996,-4129
2024-12-19 08:29:35,235928,-3952
2024-12-19 08:29:35,235711,-3968
2024-12-19 08:29:35,235754,-3902
2024-12-19 08:29:36,235713,-3794
2024-12-19 08:29:36,235864,-3784
2024-12-19 08:29:36,236012,-3918
2024-12-19 08:29:37,235947,-3964
2024-12-19 08:29:37,236253,-4003
2024-12-19 08:29:38,236124,-4150
2024-12-19 08:29:38,235643,-4166
2024-12-19 08:29:38,235509,-4243
2024-12-19 08:29:39,235609,-4196
2024-12-19 08:29:40,235826,-4152
2024-12-19 08:29:40,235942,-4094
2024-12-19 08:29:40,235833,-4086
2024-12-19 08:29:40,236188,-4079
2024-12-19 08:29:40,235957,-4242
2024-12-19 08:29:40,235839,-4238
2024-12-19 08:29:40,235498,-4190
2024-12-19 08:29:40,235388,-4071
2024-12-19 08:29:40,235420,-4164
2024-12-19 08:29:40,235771,-4131
2024-12-19 08:29:40,235787,-4172
2024-12-19 08:29:40,235686,-4217
2024-12-19 08:29:40,236183,-4143
2024-12-19 08:29:40,236136,-4141
2024-12-19 08:29:40,235771,-4146
2024-12-19 08:29:40,235403,-4261
2024-12-19 08:29:40,235410,-4175
2024-12-19 08:29:40,235513,-4144
2024-12-19 08:29:40,235575,-4186
2024-12-19 08:29:40,235566,-4206
2024-12-19 08:29:40,235721,-4294
2024-12-19 08:29:40,235909,-4220
2024-12-19 08:29:40,235733,-4238
2024-12-19 08:29:40,235357,-4320
2024-12-19 08:29:40,235418,-4385
2024-12-19 08:29:40,235405,-4388
2024-12-19 08:29:40,235416,-4081
2024-12-19 08:29:40,235624,-4165
2024-12-19 08:29:40,235671,-4233
2024-12-19 08:29:40,235862,-4197
